Date,Open,High,Low,Close ,Adj Close ,Volume
2024-08-01,266.33,267,264.18,265.93,264.45,7269700
2024-07-31,264.54,266.36,264.25,265.67,264.19,7642500
2024-07-30,263.23,264.3,261.01,263.1,261.63,5941800
2024-07-29,260.32,262.71,258.58,261.6,260.14,6068100
2024-07-26,255.59,261.2,255.59,259.46,258.02,7062200
2024-07-25,255.39,258.22,252.7,253.74,252.33,8573300
2024-07-24,256.07,257.2,253.13,254.17,252.75,13065900
2024-07-23,267.53,267.7,263.86,264.79,263.32,8109200
2024-07-22,267.23,268.4,265.02,267.71,266.22,5313600
2024-07-19,270.32,270.95,264.31,265.46,263.98,6839900
2024-07-18,272.29,273.62,268.56,269.15,267.65,5550800
2024-07-17,268.44,272.91,268.24,272.7,271.18,5324700
2024-07-16,268.52,270.21,267.37,269.25,267.75,7869900
2024-07-15,265.67,269.24,265.25,268.45,266.96,6845200
2024-07-12,264.34,267.4,263.66,265.74,264.26,6627800
2024-07-11,262.13,263.63,260.76,262.55,261.09,8803600
2024-07-10,259.12,263.48,258.51,263,261.54,9635500
2024-07-09,267,267.55,263.92,265.44,263.96,6431300
2024-07-08,270.25,271.44,265.97,266.4,264.92,8561100
2024-07-05,269,270.55,268.24,270.36,268.85,7986400
2024-07-03,269.07,269.75,268.15,268.99,267.49,5017800
2024-07-02,263.24,268.23,262.4,268.23,266.74,8697800
2024-07-01,263.79,265.77,261.3,263.24,261.77,7955800
2024-06-28,267.2,268.6,261.25,262.47,261.01,13957300
2024-06-27,268.51,270.59,266.5,266.59,265.11,10529100
2024-06-26,272.91,274.46,271.75,273.6,272.08,12172000
2024-06-25,276.85,277.93,273.53,273.53,272.01,19897700
2024-06-24,275.32,280.39,275.27,276.3,274.76,24149600
2024-06-21,277.17,277.54,274.58,275.22,273.69,14790200
2024-06-20,273.19,278.04,273.1,276.82,275.28,10164400
2024-06-18,271.3,273.9,271.3,273.62,272.1,6707500
2024-06-17,269,271.83,269,271.17,269.66,9258200
2024-06-14,270.1,271.55,269.27,270.66,269.15,8537300
2024-06-13,270.32,271.86,269.32,271.19,269.68,7361200
2024-06-12,276.77,277.6,269.9,270.32,268.81,7536600
2024-06-11,274.54,274.86,272.22,274.67,273.14,6244600
2024-06-10,278.14,278.56,273.38,275.04,273.51,5213800
2024-06-07,277.71,280.33,276.86,278.67,277.12,4515600
2024-06-06,274.8,277.15,274.08,277.04,275.5,4862400
2024-06-05,273.53,274.93,272.02,274.5,272.97,5368700
2024-06-04,269.63,272.99,269.31,272.42,270.9,4188500
2024-06-03,273.09,273.13,268.06,270.38,268.87,4838800
2024-05-31,271.44,272.76,269.01,272.46,270.94,8910000
2024-05-30,268.7,271.64,268.31,271.3,269.79,4903100
2024-05-29,269,271.14,268.26,268.86,267.36,5469700
2024-05-28,274.23,274.46,270.23,270.98,269.47,6212100
2024-05-24,275.01,275.24,273.35,274.49,272.96,4339700
2024-05-23,275.24,277.44,273.03,274.23,272.7,6115900
2024-05-22,275.53,278.08,275.12,275.58,274.05,4202500
2024-05-21,278,278.43,274.88,275.95,274.41,6578200
2024-05-20,279.22,280.27,278.18,278.54,276.99,5460900
2024-05-17,280.05,280.91,278.1,280.1,278.54,6177800
2024-05-16,0.52 Dividend,,,,,
2024-05-16,281.74,282.38,279.26,279.84,278.28,10341500
2024-05-15,277.15,281.73,277.07,281.5,279.42,21288400
2024-05-14,279.44,279.99,274.27,277.74,275.68,18526100
2024-05-13,281.46,282.15,279.1,279.39,277.32,10528400
2024-05-10,279.55,281.03,279.24,280.74,278.66,8986400
2024-05-09,276.8,278.79,276.4,278.54,276.48,8948800
2024-05-08,277.8,278.55,274.92,277.19,275.14,9029700
2024-05-07,273.72,277.88,272.83,276.46,274.41,6377100
2024-05-06,269.65,272.78,269.57,272.67,270.65,3958700
2024-05-03,269,269.45,266.5,268.49,266.5,3862000
